ItemName	Type
Item_HST	食物
Item_HG	食物
Item_HSR	食物
Item_ZPG	食物
Item_LBZTR	食物
Item_KLJC	食物
Item_NRHG	食物
Item_DJYT	食物
Item_NRMF	食物
Item_PJFZ	食物
Item_DZJ	食物
Item_YMDX	食物
Item_MY	货币
Item_AL	药草
Item_YYC	药草
Item_SYC	药草
Item_JMY	药草
Item_SMG	药草
Item_JC	药草
Item_SJG	药草
Item_SLS	药草
Item_DCC	药草
Item_TSZG	药草
Item_GJZ	药草
Item_ZWX	药草
Item_SXM	药草
Item_HYC	药草
Item_JY	药草
Item_YMY	药草
Item_JHZ	药草
Item_LYC	药草
Item_LYBX	药草
Item_LHY	药草
Item_HYY	药草
Item_CL	药草
Item_FXC	药草
Item_FXY	药草
Item_XYC	药草
Item_LX	药草
Item_YS	药草
Item_HG	药草
Item_ZRH	药草
Item_CBS	药草
Item_JM1	药草
Item_JM2	药草
Item_JM3	药草
Item_JM4	药草
Item_JM5	药草
Item_JM6	药草
Item_JM7	药草
Item_JM8	药草
Item_JM9	药草
Item_JM9	药草
Item_Dan_PT	药草
Item_PTZ	材料
Item_LQ	材料
Item_DJHJ	材料
Item_HXCJ	材料
Item_LWHJ	材料
Item_YHQJ	材料
Item_SHZJ	材料
Item_YHLJ	材料
Item_XLLJ	材料
Item_XHEQ	材料
Item_XHJC	材料
Item_ZJST	材料
Item_ST	材料
Item_DLYJ	材料
Item_XZ	材料
Item_ZYW	材料
Item_YYSY	材料
Item_ZYSY	材料
Item_JTCYW	材料
Item_JTBYB	材料
Item_YZBYB	材料
Item_WSTJ	材料
Item_JTBLSY	材料
Item_HDS	材料
HUO_CH	材料
HUO_LH	材料
HUO_BH	材料
HUO_WH	材料
HUO_JH	材料
HUO_ZH	材料
HUO_WSSH	材料
HUO_QCSH	材料
Item_WSSS	材料
Item_YS1	遮天
